Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
Skyworks Solutions,AA103-72LF_EVB,,Component Distributors Inc.,AA103-72LF_EVB,3,1,Bulk,,,,,,,,,,,,,,,,,
Skyworks Solutions,AA102-80LF,,Verical,AA102-80LF,2618,,,USD,,,,,,,,,,,,,,,,
Skyworks Solutions,873-AA102-80LF,,Mouser,873-AA102-80LF,2410,,,USD,4.63000,,,4.57000,3.43000,,,,,,,,,,,
Skyworks Solutions,AA102-80LF-B,,Richardson RFPD,AA102-80LF-B,2618,3000,,USD,4.57000,,,,,,,,,,,,,,,
Skyworks Solutions,SKYW-0000380,,Chip One Stop,SKYW-0000380,2618,3000,,USD,,,,,,,,,,,4.38000,,,,,
Skyworks Solutions,AA102-80LF,,Component Distributors Inc.,AA102-80LF,100,1,Tape & Reel,USD,4.57100,,,,3.43500,,,,,,,,,,,
Skyworks Solutions,AA104-73LF_EVB,,Component Distributors Inc.,AA104-73LF_EVB,2,1,Bulk,,,,,,,,,,,,,,,,,
Skyworks Solutions,AA104-73,,Component Distributors Inc.,AA104-73,0,1,Tape & Reel,,,,,,,,,,,,,,,,,
Skyworks Solutions,AA104-73,,Angenic,AA104-73,1741,,,,,,,,,,,,,,,,,,,
Skyworks Solutions,76R0121,,Newark,76R0121,1,1,,USD,1.29000,,,,1.29000,,1.29000,1.29000,1.29000,,,,,,,
Skyworks Solutions,AA104-73LF,,Verical,AA104-73LF,2793,,,USD,,,,,,,,,,,,,,,,
Skyworks Solutions,873-AA104-73LF,,Mouser,873-AA104-73LF,2609,,,USD,2.55000,,,2.49000,2.20000,,,,,,,,,,,
Skyworks Solutions,AA104-73LF,,Component Distributors Inc.,AA104-73LF,1591,1,Tape & Reel,USD,2.49100,,,,2.20500,,,,,,,,,,,
Skyworks Solutions,SKYW-0000372,,Chip One Stop,SKYW-0000372,3000,3000,,USD,,,,,,,,,,,1.45000,,,,,
Skyworks Solutions,863-1001-1-ND,,Digi-Key,863-1001-1-ND,573,1,Cut Tape,USD,2.49000,,,,2.21000,,,1.66000,1.47000,,,,,,,
Skyworks Solutions,863-1001-2-ND,,Digi-Key,863-1001-2-ND,0,3000,Tape & Reel,USD,,,,,,,,,,,1.25000,,,,,
Skyworks Solutions,863-1001-6-ND,,Digi-Key,863-1001-6-ND,0,1,Custom Reel,USD,2.49000,,,,2.21000,,,1.66000,1.47000,,,,,,,
Skyworks Solutions,1753760,,element14 APAC,1753760,158,1,Bulk,SGD,3.44000,,,,3.05000,,,2.29000,2.03000,,,,,,,
Skyworks Solutions,1753760,,Farnell,1753760,99,1,,GBP,0.94000,0.90000,,,0.86000,,0.83000,0.80000,,,,,,,,
