Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
Avago,HFBR-2521-ND,,Digi-Key,HFBR-2521-ND,0,200,Bulk,USD,,,,,,8.14000,,,,,,,,,,
Avago,HFBR-2521,,Angenic,HFBR-2521,9,,,,,,,,,,,,,,,,,,,
Avago,40K0019,,Newark,40K0019,8714,1,,USD,0.08400,0.08400,0.08400,,0.08400,,0.08400,0.08400,0.07200,,,,,,,
Avago,516-1394-ND,,Digi-Key,516-1394-ND,34136,1,Bulk,USD,0.43000,0.30000,0.26000,,0.20000,,0.16252,0.12000,0.10000,,,,,,,
Avago,HLMP-0103,,Avnet Express,HLMP-0103,11423,1,,USD,0.38500,0.17050,,0.11550,0.10180,,,0.08560,,,,,,,,
Avago,630-HLMP-0103,,Mouser,630-HLMP-0103,12730,,,USD,0.28000,0.22400,,,0.11500,,,,,,,,,,,
Avago,HLMP-0103,,Arrow,HLMP-0103,10853,1,,USD,0.09040,,,,,,,,,,,,,,,
Avago,8576378,,Farnell,8576378,15600,5,,GBP,,,,,0.20900,,0.17000,0.15700,0.14700,,,,,,,
Avago,8576378,,element14 APAC,8576378,4326,10,,SGD,,0.53900,,,0.32700,,0.26500,,,,,,,,,
Avago,HLMP-0103,,Avnet Express Europe,HLMP-0103,6000,2000,,EUR,,,,,,,,,,0.16000,,0.13600,,,,
Avago,8415065P,,RS Components,8415065P,5925,,,,,,,,,,,,,,,,,,,
Avago,HLMP-0103,,ExcessParts.Net,HLMP-0103,3184,,,USD,0.04000,,,,,,,,,,,,,,,
Avago,HLMP-0103,,SIE,HLMP-0103,4500,,,,,,,,,,,,,,,,,,,
Avago,32M9046,,Newark,32M9046,0,60,,,,,,,,,,,,,,,,,,
Avago,516-2010-ND,,Digi-Key,516-2010-ND,0,1,Bulk,USD,21.08000,19.81100,,,14.75250,,12.64500,11.38050,10.95900,,,,10.32675,,,
Avago,43K8801,,Newark,43K8801,428,1,,USD,6.00000,5.00000,4.20000,,3.60000,,3.20000,2.90000,2.66000,,,,,,,
Avago,HDSP-4830,,Avnet Express,HDSP-4830,3709,1,,USD,4.98660,3.49250,,2.92600,2.89580,,,2.75000,,,,,,,,
Avago,630-HDSP-4830,,Mouser,630-HDSP-4830,803,,,USD,5.60000,4.20000,,,3.40000,,,,,,,,,,,
Avago,516-1238-5-ND,,Digi-Key,516-1238-5-ND,585,1,Tube,USD,6.00000,5.00000,,4.20000,3.60000,,3.20000,2.90000,2.66000,,,,2.48000,,,
Avago,HDSP-4830,,Arrow,HDSP-4830,224,1,,USD,3.19000,,,,,,,,,,,,,,,
