Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
RFMD,689-1010-2-ND,,Digi-Key,689-1010-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,689-1010-1-ND,,Digi-Key,689-1010-1-ND,0,1,Cut Tape,USD,12.92000,,11.07000,,9.22500,,8.48700,7.74900,,,,,,,,
RFMD,689-1023-6-ND,,Digi-Key,689-1023-6-ND,0,1,Custom Reel,USD,3.37000,3.01900,2.71440,,2.46870,,2.23472,,,,,,,,,
RFMD,689-1023-2-ND,,Digi-Key,689-1023-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,689-1023-1-ND,,Digi-Key,689-1023-1-ND,0,1,Cut Tape,USD,3.37000,3.01900,2.71440,,2.46870,,2.23472,,,,,,,,,
RFMD,RF3376TR7,,Component Electronics,RF3376TR7,3,,,,,,,,,,,,,,,,,,,
RFMD,689-1020-1-ND,,Digi-Key,689-1020-1-ND,0,1,Cut Tape,USD,3.37000,3.01900,2.71440,,2.46870,,2.23472,,,,,,,,,
RFMD,689-1020-2-ND,,Digi-Key,689-1020-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,RF3374TR7,,Component Electronics,RF3374TR7,3,,,,,,,,,,,,,,,,,,,
RFMD,689-1012-1-ND,,Digi-Key,689-1012-1-ND,16794,1,Cut Tape,USD,1.23000,1.08500,0.97920,,0.85680,,0.75140,0.66640,0.52700,,,,,,,
RFMD,689-1012-2-ND,,Digi-Key,689-1012-2-ND,15000,2500,Tape & Reel,USD,,,,,,,,,,,,,0.45220,,,
RFMD,689-1021-1-ND,,Digi-Key,689-1021-1-ND,0,1,Cut Tape,USD,2.84000,,2.18720,,1.98450,,1.78200,,,,,,,,,
RFMD,689-1021-2-ND,,Digi-Key,689-1021-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,RF3375TR7,,Component Electronics,RF3375TR7,3,,,,,,,,,,,,,,,,,,,
RFMD,689-1008-6-ND,,Digi-Key,689-1008-6-ND,1645,1,Custom Reel,USD,3.05000,2.73500,2.45920,,2.23660,,2.02460,1.81260,1.52640,,,,,,,
RFMD,689-1008-1-ND,,Digi-Key,689-1008-1-ND,1645,1,Cut Tape,USD,3.05000,2.73500,2.45920,,2.23660,,2.02460,1.81260,1.52640,,,,,,,
RFMD,689-1008-2-ND,,Digi-Key,689-1008-2-ND,0,2500,Tape & Reel,USD,,,,,,,,,,,,,1.35680,,,
RFMD,RF2314TR7,,4 Star Electronics,RF2314TR7,68,,,,,,,,,,,,,,,,,,,
RFMD,689-1011-1-ND,,Digi-Key,689-1011-1-ND,0,1,Cut Tape,USD,1.01000,0.89300,0.80640,,0.70560,,0.61880,0.54880,0.43400,,,,,,,
RFMD,689-1011-2-ND,,Digi-Key,689-1011-2-ND,0,2500,Tape & Reel,USD,,,,,,,,,,,,,0.37240,,,
RFMD,689-1011-6-ND,,Digi-Key,689-1011-6-ND,0,1,Custom Reel,USD,1.01000,0.89300,0.80640,,0.70560,,0.61880,0.54880,0.43400,,,,,,,
RFMD,RF2373TR7,,Express Electronics,RF2373TR7,270,,,,,,,,,,,,,,,,,,,
RFMD,RF2373TR7,,Component Electronics,RF2373TR7,49,,,,,,,,,,,,,,,,,,,
RFMD,RF2373TR7,,Cyclops Electronics,RF2373TR7,270,,,,,,,,,,,,,,,,,,,
RFMD,RF3397TR7-ND,,Digi-Key,RF3397TR7-ND,0,2500,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,689-1007-1-ND,,Digi-Key,689-1007-1-ND,573,1,Cut Tape,USD,3.92000,3.50900,3.15520,,2.86960,,2.59760,,,,,,,,,
RFMD,689-1007-2-ND,,Digi-Key,689-1007-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
RFMD,RF2312TR7,,Quest,RF2312TR7,0,,,,,,,,,,,,,,,,,,,
RFMD,689-1019-1-ND,,Digi-Key,689-1019-1-ND,0,1,Cut Tape,USD,3.86000,3.45700,3.10880,,2.82740,,2.55940,,,,,,,,,
RFMD,689-1019-2-ND,,Digi-Key,689-1019-2-ND,0,750,Tape & Reel,USD,,,,,,,,,,,,,,,,
